NAME                               VERSION                                   TYPE   
aaa_base                           84.87+git20180409.04c9dae-150300.10.23.1  rpm     
bash                               4.4-150400.27.3.2                         rpm     
bash-sh                            4.4-150400.27.3.2                         rpm     
boost-license1_66_0                1.66.0-12.3.1                             rpm     
ca-certificates                    2+git20240416.98ae794-150300.4.3.3        rpm     
ca-certificates-mozilla            2.68-150200.33.1                          rpm     
coreutils                          8.32-150400.9.6.1                         rpm     
cpio                               2.13-150400.3.6.1                         rpm     
cracklib                           2.9.11-150600.1.90                        rpm     
cracklib-dict-small                2.9.11-150600.1.90                        rpm     
crypto-policies                    20230920.570ea89-150600.3.9.2             rpm     
curl                               8.6.0-150600.4.21.1                       rpm     
diffutils                          3.6-4.3.1                                 rpm     
file-magic                         5.32-7.14.1                               rpm     
filesystem                         15.0-11.8.1                               rpm     
fillup                             1.42-2.18                                 rpm     
findutils                          4.8.0-150300.3.3.2                        rpm     
gawk                               4.2.1-150000.3.3.1                        rpm     
glibc                              2.38-150600.14.23.1                       rpm     
gpg-pubkey                         25db7ae0-645bae34                         rpm     
gpg-pubkey                         29b700a4-62b07e22                         rpm     
gpg-pubkey                         39db7c82-5f68629b                         rpm     
gpg-pubkey                         3dbdc284-53674dd4                         rpm     
gpg-pubkey                         3fa1d6ce-63c9481c                         rpm     
gpg-pubkey                         65176565-61a0ee8f                         rpm     
gpg2                               2.4.4-150600.1.4                          rpm     
grep                               3.1-150000.4.6.1                          rpm     
info                               6.5-4.17                                  rpm     
krb5                               1.20.1-150600.11.8.1                      rpm     
kubic-locale-archive               2.38-150600.18.3                          rpm     
libacl1                            2.2.52-4.3.1                              rpm     
libassuan0                         2.5.5-150000.4.7.1                        rpm     
libattr1                           2.4.47-2.19                               rpm     
libaudit1                          3.0.6-150400.4.16.1                       rpm     
libaugeas0                         1.14.1-150600.1.3                         rpm     
libblkid1                          2.39.3-150600.4.12.2                      rpm     
libboost_system1_66_0              1.66.0-12.3.1                             rpm     
libboost_thread1_66_0              1.66.0-12.3.1                             rpm     
libbrotlicommon1                   1.0.7-3.3.1                               rpm     
libbrotlidec1                      1.0.7-3.3.1                               rpm     
libbz2-1                           1.0.8-150400.1.122                        rpm     
libcap-ng0                         0.7.9-4.37                                rpm     
libcap2                            2.63-150400.3.3.1                         rpm     
libcom_err2                        1.47.0-150600.4.6.2                       rpm     
libcrack2                          2.9.11-150600.1.90                        rpm     
libcrypt1                          4.4.15-150300.4.7.1                       rpm     
libcurl4                           8.6.0-150600.4.21.1                       rpm     
libdw1                             0.185-150400.5.3.1                        rpm     
libeconf0                          0.5.2-150400.3.6.1                        rpm     
libelf1                            0.185-150400.5.3.1                        rpm     
libfa1                             1.14.1-150600.1.3                         rpm     
libfdisk1                          2.39.3-150600.4.12.2                      rpm     
libffi7                            3.2.1.git259-10.8                         rpm     
libgcc_s1                          14.2.0+git10526-150000.1.6.1              rpm     
libgcrypt20                        1.10.3-150600.3.3.1                       rpm     
libglib-2_0-0                      2.78.6-150600.4.8.1                       rpm     
libgmp10                           6.1.2-4.9.1                               rpm     
libgpg-error0                      1.47-150600.1.3                           rpm     
libgpgme11                         1.23.0-150600.3.2.1                       rpm     
libidn2-0                          2.2.0-3.6.1                               rpm     
libjitterentropy3                  3.4.1-150000.1.12.1                       rpm     
libkeyutils1                       1.6.3-5.6.1                               rpm     
libksba8                           1.6.4-150600.1.2                          rpm     
libldap-2_4-2                      2.4.46-150600.23.21                       rpm     
libldap-data                       2.4.46-150600.23.21                       rpm     
liblua5_3-5                        5.3.6-3.6.1                               rpm     
liblz4-1                           1.9.4-150600.1.4                          rpm     
liblzma5                           5.4.1-150600.1.2                          rpm     
libmagic1                          5.32-7.14.1                               rpm     
libmount1                          2.39.3-150600.4.12.2                      rpm     
libncurses6                        6.1-150000.5.27.1                         rpm     
libnghttp2-14                      1.40.0-150600.23.2                        rpm     
libnpth0                           1.5-2.11                                  rpm     
libnsl2                            1.2.0-2.44                                rpm     
libopenssl3                        3.1.4-150600.5.24.1                       rpm     
libp11-kit0                        0.23.22-150500.8.3.1                      rpm     
libpcre1                           8.45-150000.20.13.1                       rpm     
libpcre2-8-0                       10.42-150600.1.26                         rpm     
libpopt0                           1.16-3.22                                 rpm     
libprocps8                         3.3.17-150000.7.42.1                      rpm     
libpsl5                            0.20.1-150000.3.3.1                       rpm     
libreadline7                       7.0-150400.27.3.2                         rpm     
libsasl2-3                         2.1.28-150600.7.3.1                       rpm     
libselinux1                        3.5-150600.1.46                           rpm     
libsemanage-conf                   3.5-150600.1.48                           rpm     
libsemanage2                       3.5-150600.1.48                           rpm     
libsepol2                          3.5-150600.1.49                           rpm     
libsigc-2_0-0                      2.12.1-150600.1.2                         rpm     
libsmartcols1                      2.39.3-150600.4.12.2                      rpm     
libsolv-tools-base                 0.7.31-150600.8.7.2                       rpm     
libsqlite3-0                       3.44.0-150000.3.23.1                      rpm     
libssh-config                      0.9.8-150600.9.1                          rpm     
libssh4                            0.9.8-150600.9.1                          rpm     
libstdc++6                         14.2.0+git10526-150000.1.6.1              rpm     
libsystemd0                        254.24-150600.4.28.1                      rpm     
libtasn1                           4.13-150000.4.11.1                        rpm     
libtasn1-6                         4.13-150000.4.11.1                        rpm     
libtirpc-netconfig                 1.3.4-150300.3.23.1                       rpm     
libtirpc3                          1.3.4-150300.3.23.1                       rpm     
libudev1                           254.24-150600.4.28.1                      rpm     
libunistring2                      0.9.10-1.1                                rpm     
libusb-1_0-0                       1.0.24-150400.3.3.1                       rpm     
libutempter0                       1.1.6-3.42                                rpm     
libuuid1                           2.39.3-150600.4.12.2                      rpm     
libverto1                          0.2.6-3.20                                rpm     
libxml2-2                          2.10.3-150500.5.23.1                      rpm     
libyaml-cpp0_6                     0.6.3-150400.4.3.1                        rpm     
libz1                              1.2.13-150500.4.3.1                       rpm     
libzck1                            1.1.16-150600.9.3                         rpm     
libzio1                            1.06-2.20                                 rpm     
libzstd1                           1.5.5-150600.1.3                          rpm     
libzypp                            17.36.3-150600.3.50.1                     rpm     
login_defs                         4.8.1-150600.17.9.1                       rpm     
ncurses-utils                      6.1-150000.5.27.1                         rpm     
netcfg                             11.6-150000.3.6.1                         rpm     
openSUSE-build-key                 1.0-lp156.8.2                             rpm     
openSUSE-release                   15.6-lp156.416.2                          rpm     
openSUSE-release-appliance-docker  15.6-lp156.416.2                          rpm     
openssl                            3.1.4-150600.2.1                          rpm     
openssl-3                          3.1.4-150600.5.24.1                       rpm     
p11-kit                            0.23.22-150500.8.3.1                      rpm     
p11-kit-tools                      0.23.22-150500.8.3.1                      rpm     
pam                                1.3.0-150000.6.71.2                       rpm     
patterns-base-fips                 20200505-lp156.17.3.1                     rpm     
perl-base                          5.26.1-150300.17.17.1                     rpm     
permissions                        20240826-150600.10.18.2                   rpm     
pinentry                           1.1.0-4.3.1                               rpm     
procps                             3.3.17-150000.7.42.1                      rpm     
rpm-config-SUSE                    1-150400.14.3.1                           rpm     
rpm-ndb                            4.14.3-150400.59.16.1                     rpm     
sed                                4.9-150600.1.4                            rpm     
shadow                             4.8.1-150600.17.9.1                       rpm     
system-group-hardware              20170617-150400.24.2.1                    rpm     
system-user-root                   20190513-3.3.1                            rpm     
sysuser-shadow                     3.2-150400.3.5.3                          rpm     
terminfo-base                      6.1-150000.5.27.1                         rpm     
timezone                           2025a-150600.91.3.1                       rpm     
update-alternatives                1.19.0.4-150000.4.4.1                     rpm     
util-linux                         2.39.3-150600.4.12.2                      rpm     
zypper                             1.14.85-150600.10.28.1                    rpm
